ID : 0    NAME : ile_corner_top_left
ID : 1    NAME : ile_border_top
ID : 2    NAME : ile_corner_top_right
ID : 3    NAME : ile_border_left
ID : 4    NAME : ile_center
ID : 5    NAME : ile_border_right
ID : 6    NAME : ile_corner_bot_left
ID : 7    NAME : ile_border_bot
ID : 8    NAME : ile_corner_bot_right
ID : 9    NAME : ile_mini
ID : 10    NAME : mer_mini
ID : 11    NAME : mer
ID : 12    NAME : rocher_mini
ID : 13    NAME : mer_maxi_corner_top_left
ID : 14    NAME : mer_maxi_corner_bot_left
ID : 15    NAME : mer_maxi_corner_bot_right
ID : 16    NAME : mer_maxi_corner_top_right
ID : 17    NAME : mer_maxi_border_left
ID : 18    NAME : mer_maxi_border_right
ID : 19    NAME : mer_maxi_border_top
ID : 20    NAME : mer_maxi_border_bot
ID : 21    NAME : mer_maxi_center
